reins	поводья, почки, чресла	поясница	
rider	всадник, райдер, наездник	ездок, всадница, седок	дополнение, верховой
springs	весна, пружина, источник	пружинить, возникать	весенний, яровой, упругий
bearing	подшипник, опора, отношение	ношение, несущий, опорный	рождающий, приносящий
bouncing	отскакивать, отскочить	подпрыгивать, подпрыгнуть	
lifts	лифт, подъемник, подъем	подниматься, поднимать	подъемный
surreal	сюрреалистичный		
moonlight	лунный свет, подрабатывать по вечерам		
aerial	антенна, воздушный, авиационный	эфирный	
crane	кран, журавль, сифон, кран грузоподъемный	вытягивать шею, поднимать краном	
shallow	неглубокий, мелководный	поверхностный, пологий	
screeches	визг, крик		
rumble	гул, грохот		
distorted	искаженный, искривленный		
glimpse	проблеск	быстрый взгляд	представление
bathed	мыть	купаться	ванна
firelight	свет от камина, свет от костра		
looms	ткацкий станок, тень, очертания	маячить, неясно вырисовываться	
gasps	задыхаться, ловить воздух	удушье, затрудненное дыхание	
flicker	мерцание	вспышка	
dappled	пятнистый, пестрый, испещренный		
pipe	труба, трубопровод	свирель, свистеть, 	свистать, пищать, петь
drift	дрейф, самотек, снос	медленное течение	дрейфовать, плыть по течению
summit	саммит, вершина, 	проходящий на высшем уровне	
staff	персонал, кадры	посох, жезл, палка	состав
tosses	жеребьевка, бросание, бросать	кидать, швырять, отбрасывать	
embrace	охватывать, охватить	принимать, принять	обнимать, обнять, обняться
bend	изгиб, сгиб, поворот, загиб, вираж		
chilling	охлаждать, расхолаживать	холодеть, студить, чувствовать озноб	закаливать
soars	парить, витать, подниматься	подниматься ввысь, высоко летать	планировать
awe	благоговение, почтение	страх, трепет, ужас	
towering	возвышающийся, высокий	вздымающийся, ужасный	растущий, увеличивающийся
bench	скамейка, скамья, лавка	станок	стол
gaze	вглядываться, пристально смотреть	уставиться	пристальный взгляд
neatly	аккуратно, опрятно	ловко, искусно	
startled	напугать, испугать, пугат	сильно удивить, поразить, 	вздрагивать, вздрогнуть
embarrassed	смущенный, растерянный	стесненный, запутавшийся в долгах	
foul	грязный, нечистый	твратительный	вонючий
caverns	пещера		
doom	гибель, судьба, рок, смерть	приговор, обрекать, осуждать	предопределять
endure	терпеть, переносить	выдержать	
scattered	разбрасывать	рассеивать	разбегаться
nods	кивнуть, клевать носом	кивать головой, кивок	клевание носом, дремота
plinth	плинтус, цоколь, постамент		
shards	осколок, черепок		
heirloom	наследие, фамильная черта	фамильная ценность, фамильная вещь	
clatters	грохот, стук, звон, топот	трескотня, гул, греметь	стучать, цокать, тарабанить
hilt	рукоятка, эфес		
doomed			
amongst	среди, между, из, у, в числе	посреди, из числа	
hum	гул, шум	жужжание, гудение	
lingered	задержаться, помедлить	затягиваться	
staggers	шататься, поражать, колебаться	шатание, пошатывание	
sternly	строгий,сурово		
ranger	рейнджер, лесничий, странник	бродяга, скиталец, смотритель королевского парка	
owe	быть должным, причитаться	быть в долгу, быть обязанным кому-л.	
allegiance	верность, преданность, лояльность	принадлежность	
shatters	разрушать, поколебать, разбивать	обломок, осколок	
winces	вздрагивание, содрогание	вздрогнуть, вздрагивать	морщиться
fiery	пламенный, пылкий	вспыльчивый	горящий
slumps	кризис, резкое падение цен	оползень, резко падать	горбиться
stunned	оглушать, оглушить, ошеломить	потрясти, поразить	
dread	страх, ужас, трепет	страшный, ужасный, грозный	
descended	спускаться	происходить, снизойти, снисходить	
watchful	бдительный, внимательный	осторожный	
barren	бесплодный, пустынный	пустой, бессодержательный	
wasteland	пустошь, пустырь		
folly	глупость, безумие, безрассудство	безумство, дурь, дурость	недомыслие
erupts	извергаться, извергать	прорываться, прорезываться	врываться
hideous	отвратительный, ужасный	страшный, 	сильный
astonished	пораженный	удивлять	изумлять
kneels	становиться на колени, стоять на коленях	преклонять колени, преклонять	
sack	мешок, куль, разграбление	сак, 	постель, увольнять, грабить
pip	типун, зернышко, очко, косточка	подстрелить, провалить	пищать, чирикать
surveys	обзор, обследование, обзорный	обследовать, обозревать	
debris	осколки; обломки	строительный мусор	
folded	складывать	сворачивать	сбросить
